<<<<<<< HEAD
,States,Gini Coeffecient
0,New York,0.52
1,Connecticut,0.5
2,Massachusetts,0.5
3,California,0.5
4,Louisiana,0.49
5,Florida,0.49
6,Illinois,0.48
7,New Jersey,0.48
8,West Virginia,0.48
9,Kentucky,0.48
10,Mississippi,0.48
11,Arkansas,0.48
12,New Mexico,0.48
13,Texas,0.48
14,Pennsylvania,0.48
15,South Carolina,0.48
16,North Carolina,0.48
17,Virginia,0.48
18,Oregon,0.47
19,Montana,0.47
20,Michigan,0.47
21,Ohio,0.47
22,North Dakota,0.47
23,Georgia,0.47
24,Washington,0.47
25,Oklahoma,0.47
26,Arizona,0.47
27,Missouri,0.47
28,Tennessee,0.47
29,Rhode Island,0.46
30,Kansas,0.46
31,Nebraska,0.46
32,Maine,0.46
33,Maryland,0.46
34,Colorado,0.46
35,Indiana,0.46
36,Minnesota,0.46
37,Iowa,0.45
38,Wisconsin,0.45
39,South Dakota,0.45
40,New Hampshire,0.45
41,Vermont,0.45
42,Wyoming,0.44
43,Idaho,0.44
44,Delaware,0.44
=======
,States,Gini Coeffecient
0,New York,0.52
1,Connecticut,0.5
2,Massachusetts,0.5
3,California,0.5
4,Louisiana,0.49
5,Florida,0.49
6,Illinois,0.48
7,New Jersey,0.48
8,West Virginia,0.48
9,Kentucky,0.48
10,Mississippi,0.48
11,Arkansas,0.48
12,New Mexico,0.48
13,Texas,0.48
14,Pennsylvania,0.48
15,South Carolina,0.48
16,North Carolina,0.48
17,Virginia,0.48
18,Oregon,0.47
19,Montana,0.47
20,Michigan,0.47
21,Ohio,0.47
22,North Dakota,0.47
23,Georgia,0.47
24,Washington,0.47
25,Oklahoma,0.47
26,Arizona,0.47
27,Missouri,0.47
28,Tennessee,0.47
29,Rhode Island,0.46
30,Kansas,0.46
31,Nebraska,0.46
32,Maine,0.46
33,Maryland,0.46
34,Colorado,0.46
35,Indiana,0.46
36,Minnesota,0.46
37,Iowa,0.45
38,Wisconsin,0.45
39,South Dakota,0.45
40,New Hampshire,0.45
41,Vermont,0.45
42,Wyoming,0.44
43,Idaho,0.44
44,Delaware,0.44
>>>>>>> 2b512835f280dcbecb1c1a7dc31d9531d45013f2
